,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,MAX,MIN,DEWP,SLP,STP,WDSP,MXSPD,PRCP,SNDP,Fog,Rain or Drizzle,Snow or Ice Pellets,Hail,Thunder,Tornado or Funnel Cloud,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density,RH,SLP-STP,MSXPD-WDSP
0,5877,Norovirus,2011/1/3,2011/1/3,7,VA,Virginia,Fairfax,,,,,,,,,,,32.7,40.65,26.8,12.05,1023.2,1015.65,8.8,17.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.39917808,85193.4137,108414.1534,4.231361397,0.06977214,2722.976201,41.77605146541092,7.550000000000068,8.2
1,5981,Norovirus,2011/1/2,2011/1/2,8,CO,Colorado,Douglas,Larimer,Weld,,,,,,,,,9.475,30.9,-6.875,-3.266666667,1019.9,836.55,4.1,14.33333333,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.73205479,24228.55068,71405.53516,4.696576557,0.797713967,170.1020434,55.34146289632322,183.35000000000002,10.23333333
2,6015,Norovirus,2011/1/11,2011/1/11,24,WY,Wyoming,Platte,,,,,,,,,,,1.51,13.04,-9.64,-4.24,1035.84,855.7,5.24,10.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.46684932,448.3205479,46073.83836,7.630068341,6.922923625,4.164751363,76.10739931327866,180.13999999999987,4.879999999999999
3,6040,Norovirus,2011/1/12,2011/1/12,22,MN,Minnesota,Stevens,,,,,,,,,,,3.9,8.6,-2.2,-1.0,1015.5999755859375,992.9,12.0,17.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.03287671,1080.142466,47690.4,5.254483095,4.692423381,17.21657738,79.50296923842967,22.699975585937523,5.100000000000001
4,6199,Norovirus,2011/1/23,2011/1/23,6,MN,Minnesota,Mower,,,,,,,,,,,-5.8,6.8,-16.6,-11.7,1022.9199829101562,976.1,3.8,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.74410959,2249.931507,45526.74795,4.981636164,1.310099249,54.7942702,74.75610098683929,46.81998291015623,6.1000000000000005
5,6220,Norovirus,2011/2/3,2011/2/7,8,NY,New York,New York,,,,,,,,,,,34.36666667,40.59333333,28.83333333,21.39,1016.74,1011.56,6.32,16.5,0.064,5.273333333,0.266666667,0.333333333,0.2,0.0,0.0,0.0,36.39013699,139313.7452,66983.7589,4.447133346,0.058198829,69547.63595,58.61671262093283,5.180000000000064,10.18
6,6286,Norovirus,2011/2/6,2011/2/6,5,MN,Minnesota,Hennepin,,,,,,,,,,,27.5,29.26666667,21.56666667,21.26666667,1014.3,980.0,5.133333333,10.7,0.003333333,3.933333333,0.0,0.0,1.0,0.0,0.0,0.0,35.9,75423.6,62799.95616,5.297672056,0.167614361,2068.705087,77.04215685037256,34.299999999999955,5.566666666999999
7,6287,Norovirus,2011/2/9,2011/2/9,15,MN,Minnesota,Hennepin,,,,,,,,,,,-1.2,6.7,-9.033333333,-11.43333333,1027.033333,992.2,7.933333333,13.03333333,0.0,3.666666667,0.0,0.0,0.0,0.0,0.0,0.0,35.9,75429.0,62786.49315,5.296455396,0.16741234,2068.561472,60.75043298973086,34.83333300000004,5.099999996999999
8,6289,Norovirus,2011/1/1,2011/1/1,14,RI,Rhode Island,Kent,,,,,,,,,,,39.0,54.0,28.0,32.1,1019.0,1016.7,3.3,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42.19917808,6892.575342,61278.47671,5.624810333,0.179653338,988.7417955,76.03608980415774,2.2999999999999545,3.7
9,6290,Norovirus,2011/1/15,2011/1/15,54,RI,Rhode Island,Kent,,,,,,,,,,,16.9,32.0,5.0,9.7,1022.1,1019.8,5.0,12.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,42.18767123,6900.630137,61271.15068,5.617251204,0.177520039,988.8792614,72.7737720632557,2.300000000000068,7.0
10,6294,Norovirus,2011/1/13,2011/1/13,18,CA,California,Kern,,,,,,,,,,,40.6,55.87142857,28.48571429,27.78333333,1035.625,952.45,3.285714286,9.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,49594.86849,47987.80548,5.551440959,8.399289302,101.9157844,59.91867418882026,83.17499999999995,5.857142857
11,6348,Norovirus,2011/2/9,2011/2/11,111,IL,Illinois,Cook,,,,,,,,,,,9.275,17.75,2.866666667,-1.633333333,1022.3,997.6555556,9.483333333,15.91666667,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,35.18876712,172385.9397,54524.31233,5.449559374,0.104601685,5481.506057,60.3705344526927,24.644444399999998,6.4333333370000005
12,6366,Norovirus,2011/2/19,2011/2/19,40,NY,New York,Orange,,,,,,,,,,,37.9,57.75,23.0,14.5,1006.2,990.65,19.5,29.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.37260274,16350.86301,70188.38356,4.380152921,0.61881779,457.8218758,37.85550120986473,15.550000000000068,10.05
13,6432,Norovirus,2011/2/25,2011/2/25,12,IL,Illinois,DuPage,,,,,,,,,,,31.8,36.05,28.2,24.4,1017.7,990.2,10.55,19.05,0.035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.73863014,55301.39726,77441.96712,4.164286058,0.099218434,2790.238645,73.76875508336951,27.5,8.5
14,6454,Norovirus,2011/2/20,2011/2/21,16,MN,Minnesota,Dakota,,,,,,,,,,,23.875,26.2,20.175,19.5,1016.2999877929688,991.8,9.725,17.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.35767123,24388.12877,73599.82329,4.329264285,0.28568295,704.5914035,83.0749742604904,24.499987792968795,7.275
15,6472,Norovirus,2011/2/28,2011/2/28,24,IL,Illinois,McHenry,,,,,,,,,,,31.24,36.86,25.24,20.82,1015.79,985.32,8.54,13.61,0.18,0.4,0.0,1.0,1.0,0.0,0.0,0.0,37.51917808,12745.50137,76839.97808,4.591240968,0.244692902,509.7251076,64.87921758403739,30.469999999999914,5.07
16,6495,Norovirus,2011/2/24,2011/2/25,9,MN,Minnesota,Dakota,,,,,,,,,,,18.9,26.9,12.65,10.25,1032.699951171875,999.7,7.725,12.525,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,36.35438356,24388.21644,73590.25616,4.328178031,0.285147308,704.5296662,68.42286538012698,32.999951171874955,4.800000000000001
17,6522,Norovirus,2011/3/5,2011/3/5,10,IL,Illinois,Cook,,,,,,,,,,,34.375,41.85,29.275,31.63333333,1017.9,994.0,16.9,23.225,0.403333333,0.0,0.0,0.75,0.75,0.0,0.25,0.0,35.18246575,172440.3205,54482.97534,5.435483574,0.104487523,5480.831412,89.57022484387574,23.899999999999977,6.325000000000003
