,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,5877,Norovirus,2011-01-03,2011-01-03,7,VA,Virginia,Fairfax,,,,,,,,,,,32.7,1023.2,8.8,0.03,41.77605147,7.55,8.2,37.29982749940862,86494.24325374865,105454.75740444136,4.115989235040174,0.06448357404546023,2682.199703928282
1,6040,Norovirus,2011-01-12,2011-01-12,22,MN,Minnesota,Stevens,,,,,,,,,,,3.9,1017.60107421875,12.0,0.0,79.50296924,42.37548828125,5.1,34.9050307080477,869.1903519588434,46909.40908185701,4.07062749965829,3.7194009928658613,17.228925160974235
2,6286,Norovirus,2011-02-06,2011-02-06,5,MN,Minnesota,Hennepin,,,,,,,,,,,27.5,1014.3,5.133333333,0.003333333,77.04215685,34.3,5.566666667,35.904206136635295,75874.87121974763,61593.830558050366,5.192185412029498,0.14674293282606066,2054.5095135574225
3,6287,Norovirus,2011-02-09,2011-02-09,15,MN,Minnesota,Hennepin,,,,,,,,,,,-1.2,1027.033333,7.933333333,0.0,60.75043299,34.833333,5.099999997,35.90448610813694,75864.50681814068,61614.156074836996,5.194253057565284,0.14686154782334937,2054.634684998262
4,6289,Norovirus,2011-01-01,2011-01-01,14,RI,Rhode Island,Kent,,,,,,,,,,,39.0,1019.0,3.3,0.0,76.0360898,2.3,3.7,41.90066451499028,7097.103955699049,61087.16541258057,5.428532677482086,0.12417692217799849,992.306393577467
5,6290,Norovirus,2011-01-15,2011-01-15,54,RI,Rhode Island,Kent,,,,,,,,,,,16.9,1022.1,5.0,0.0,72.77377206,2.3,7.0,41.91006474944151,7031.788224455335,61076.48457319836,5.432411036863087,0.12416477726871554,992.1728389902202
6,6348,Norovirus,2011-02-09,2011-02-11,111,IL,Illinois,Cook,,,,,,,,,,,9.275,1022.3,9.483333333,0.0,60.37053445,24.6444444,6.433333337,35.116339010442566,173177.97558564084,54056.82057228504,5.302695419696319,0.10201631849032931,5472.763536514169
7,6432,Norovirus,2011-02-25,2011-02-25,12,IL,Illinois,DuPage,,,,,,,,,,,31.8,1017.7,10.55,0.035,73.76875508,27.5,8.5,37.44614509910564,54880.337983853184,76672.08496428392,4.0973342061001885,0.10432070974692785,2783.8702561807345
8,6454,Norovirus,2011-02-20,2011-02-21,16,MN,Minnesota,Dakota,,,,,,,,,,,23.875,1013.8116455078125,9.725,0.1,83.07497426,37.25541687011719,7.275,36.127411248372304,24600.803893590124,73149.94425145286,4.242176817337636,0.2611890933114449,700.586387551396
9,6472,Norovirus,2011-02-28,2011-02-28,24,IL,Illinois,McHenry,,,,,,,,,,,31.24,1015.79,8.54,0.18,64.87921758,30.47,5.07,37.19091179047866,12729.744251904644,76422.46946600266,4.444474805493714,0.2441205380444229,508.035059257048
10,6495,Norovirus,2011-02-24,2011-02-25,9,MN,Minnesota,Dakota,,,,,,,,,,,18.9,1013.8116455078125,7.725,0.0,68.42286538,37.25541687011719,4.8,36.129801321177894,24612.913641199353,73170.19869136308,4.242317005891602,0.262365495470123,700.6505486098877
11,6584,Norovirus,2011-03-06,2011-03-06,53,MN,Minnesota,Ramsey,,,,,,,,,,,20.7,1027.6,3.9,0.0,68.80209143,27.2,6.0,34.66933685793208,42327.27284722598,52144.52054000989,5.340575542434847,0.3790449727614272,3309.054140398842
12,6685,Norovirus,2011-03-12,2011-03-12,26,MS,Mississippi,Harrison,Jackson,,,,,,,,,,57.5875,1024.1625,5.8625,0.0,70.32894033,1.129167,5.4375,36.36849520266673,13443.913717131272,46915.2796458027,8.126126185481251,0.26098433546478905,253.9912536433083
13,6732,Norovirus,2011-03-10,2011-03-10,5,MN,Minnesota,Dakota,,,,,,,,,,,29.95,1013.8116455078125,7.75,0.03,83.60169572,37.25541687011719,6.25,36.13813209614686,24649.90824141062,73235.4680124453,4.24308317603986,0.26615113025443676,700.8664800677637
14,6749,Norovirus,2011-02-13,2011-02-13,24,PA,Pennsylvania,Westmoreland,,,,,,,,,,,39.3,1018.8491821289062,13.3,0.0,64.91120971,23.404096603393555,4.8,44.45616614201108,13205.942916087704,47909.03204524661,5.757836227279009,0.127784723383677,355.9985874450479
15,6828,Norovirus,2011-01-15,2011-01-15,19,OR,Oregon,Jackson,,,,,,,,,,,46.4,1029.9,1.0,0.0,94.11391896,48.8,4.1,41.7082619939333,12943.77603254441,44075.38809064433,6.343406718460863,1.161909679201469,72.08774368137726
16,6832,Norovirus,2011-01-21,2011-01-21,22,OR,Oregon,Coos,,,,,,,,,,,43.85,1026.1,2.666666667,0.0,87.04731007,60.31845474243164,10.63333333,46.51301723260736,4092.124324774958,37507.37450519804,6.132406486082513,2.3846453208044984,39.65989167909808
17,6938,Norovirus,2011-03-23,2011-03-24,44,FL,Florida,Palm Beach,,,,,,,,,,,74.1,1015.6,7.175,0.0,63.14767535,0.2,5.375,43.145282258139986,70504.73915877298,53114.48791108594,6.212614736976123,0.8278466120307806,660.4168870448042
18,7036,Norovirus,2011-04-08,2011-04-10,81,HI,Hawaii,Honolulu,,,,,,,,,,,75.28,1017.666667,5.853333333,0.130666667,73.75283802,0.688889,5.846666667,37.55636500557771,59295.20063024715,70373.12856557066,7.369068513710385,0.4356231586649539,1561.7000036065417
19,7043,Norovirus,2011-04-02,2011-04-02,20,TN,Tennessee,Greene,,,,,,,,,,,46.96,1009.5,9.2,0.06,31.91062624,53.7,9.8,41.928825916488734,2985.473231288911,36785.567298080285,4.114168160768442,0.578122140077216,109.80331361062726
20,7182,Norovirus,2011-04-14,2011-04-15,60,MI,Michigan,Washtenaw,,,,,,,,,,,45.75,1021.15,10.0,0.0,58.88104454,30.8,8.0,32.74394635970263,38048.13692536518,59499.94345703413,6.321260180240834,0.1423019126438949,487.5394673280232
21,7204,Norovirus,2011-04-04,2011-04-04,6,MD,Maryland,Anne Arundel,,,,,,,,,,,59.82,1007.075,8.733333333,0.006,50.70043784,2.625,8.299999997,38.1700764577507,39424.8220029881,84076.9259815854,3.983041284925349,0.16204606322240192,1273.2268836591886
22,7211,Norovirus,2011-03-31,2011-03-31,22,GA,Georgia,DeKalb,,,,,,,,,,,50.1,1006.9,6.3,0.03,82.55743624,35.4,8.7,33.95782218568941,70988.400691788,51572.51476776607,5.222988238329689,0.047517836538801234,2565.907252586796
23,7231,Norovirus,2011-04-15,2011-04-17,23,MN,Minnesota,Beltrami,,,,,,,,,,,32.65,1014.9909057617188,9.9,0.0,60.976666,38.623802185058594,8.11666667,33.442295381914384,2825.87110311106,43544.06636799591,6.216163446656457,1.0733086586821272,17.532338539721213
24,7235,Norovirus,2011-04-03,2011-04-03,9,WA,Washington,Cowlitz,,,,,,,,,,,43.8,1015.7669677734375,5.6,0.06,70.66346082,28.782394409179688,9.4,39.6589879454114,6376.491170344369,46245.09449534788,5.381792790681628,2.803200102764469,88.98900141539774
25,7240,Norovirus,2011-03-26,2011-04-03,18,AL,Alabama,Fayette,,,,,,,,,,,54.49666667,1012.794444,5.57,0.2,46.38591219,7.341111,7.39555556,42.46716374250783,1207.4127443881982,34264.73342356355,4.343270314143011,1.9355858606950989,27.804896930160222
26,7242,Norovirus,2011-04-30,2011-04-30,24,IL,Illinois,La Salle,,,,,,,,,,,57.71,1011.2,14.12,0.0,30.05440667,24.56,12.01,40.66402633372089,4050.674961829044,52208.715000378455,6.293216208558847,1.0269985494468068,100.2975946317494
27,7277,Norovirus,2011-03-10,2011-03-15,57,PA,Pennsylvania,Elk,,,,,,,,,,,36.61833333,1017.4,9.135,0.11,59.14614375,52.2816667,6.57333333,43.89444059879387,604.5113965782107,43120.268011956294,5.247165951639336,1.1482093458513625,39.20684933346161
28,7281,Norovirus,2011-04-16,2011-04-18,41,ME,Maine,Penobscot,,,,,,,,,,,38.78888889,1017.05,6.983333333,0.352222222,61.02142404,12.5,7.516666667,39.57293543183633,9655.968027164141,43174.88117740102,5.808321123512534,1.008206724486052,45.04945283966625
29,7325,Norovirus,2011-05-05,2011-05-05,13,IL,Illinois,Fulton,,,,,,,,,,,52.46,1023.89,9.55,0.0,61.05660823,23.47,9.93,42.12949660022254,2158.979819143887,42255.256756791176,5.461217674615358,0.9991393973903633,42.957630985907215
30,7393,Norovirus,2011-04-29,2011-04-29,19,GA,Georgia,Houston,,,,,,,,,,,64.5,1017.0,7.0,0.02,55.27107471,10.7,6.0,34.39466184154508,11775.679389180421,55073.55903497374,5.586090643493382,0.4290273834449894,361.7951576772873
31,7467,Norovirus,2011-04-02,2011-04-02,6,FL,Florida,Seminole,,,,,,,,,,,68.3,1015.5,6.6,0.0,57.48513994,1.9,7.4,37.841936735435205,31207.346299454108,58982.6850292867,5.253119193855855,0.14063372741513241,1350.683022027999
32,7534,Norovirus,2011-05-07,2011-05-07,20,NY,New York,Richmond,,,,,,,,,,,61.5,1010.4,5.3,0.0,63.519779205322266,20.761249542236328,7.7,38.14130626770137,13598.480653933066,71591.35754493815,3.3284498665772357,0.02722035702796145,7955.50411906854
33,7537,Norovirus,2011-04-28,2011-05-03,61,MN,Minnesota,Hennepin,,,,,,,,,,,44.25,1013.061111,10.03888889,0.102222222,57.96732559,32.6333332,7.09444444,35.908981485799494,75633.60409900376,62095.74756537089,5.241346222628282,0.15101166536508717,2058.154770090656
34,7539,Norovirus,2011-04-30,2011-05-05,29,MN,Minnesota,Dakota,,,,,,,,,,,45.04166667,1013.97412109375,8.558333333,0.106666667,57.91294958,40.20541763305664,9.274999997,36.17495727753763,24741.409553088775,73449.42528594773,4.250305111984249,0.2784791932709002,701.7131048006605
35,7542,Norovirus,2011-05-11,2011-05-11,9,MN,Minnesota,Fillmore,,,,,,,,,,,74.0,1017.60107421875,6.4,0.0,67.872976,42.37548828125,10.7,42.74606525656098,902.3183096315335,47007.37176493433,4.145082723810556,2.938442472492265,24.357727674146172
36,7545,Norovirus,2011-05-14,2011-05-17,5,MN,Minnesota,Hennepin,,,,,,,,,,,52.65833333,1018.808333,8.216666667,0.021666667,43.64235692,32.3666663,6.166666663,35.90924766046692,75599.90127620185,62172.784868965275,5.248485126515773,0.1519640446214543,2058.8435085473443
37,7548,Norovirus,2011-05-06,2011-05-06,32,MN,Minnesota,Wright,,,,,,,,,,,55.0,1020.880859375,3.25,0.03,53.65650429,24.249792098999023,6.75,34.21371794593133,7471.6098189625645,68550.4338105796,4.706736490250716,0.368677382097605,183.8665042784635
38,7603,Norovirus,2011-05-18,2011-05-18,6,TN,Tennessee,Hamilton,,,,,,,,,,,54.0,1010.7,2.9,0.0,69.36490374,24.7,4.1,39.121600789837885,17896.503196355985,45414.23415292686,6.542736370626346,0.1468210797520014,609.0519510709522
39,7853,Norovirus,2011-04-03,2011-04-06,51,PA,Pennsylvania,Northampton,,,,,,,,,,,49.1725,1007.3575,6.8025,0.0875,45.38528169,13.9575,6.2975,40.252725505626145,19967.645086333956,59800.28921326982,4.708716610155218,0.22805555082632034,798.2055768862144
