,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,47,7959,Norovirus,2011-06-04,2011-06-04,80,GA,Georgia,Cobb,,,,,,,,,,,84.2,1019.3,3.6,0.0,52.75479,37.4,2.9,35.060029161688604,63628.03384397212,65349.4296748402,5.038998939924582,0.0957347692423754,2003.539197765377
1,48,7969,Norovirus,2011-06-18,2011-06-19,14,VA,Virginia,Stafford,,,,,,,,,,,74.55,1011.15,2.6,0.1475,83.04163689,3.525,4.4,34.21454302366395,14485.756628710093,93640.81898769888,4.035985517041804,0.041825944964769,467.4667831365439
2,50,7990,Norovirus,2011-06-18,2011-06-18,23,CT,Connecticut,New Haven,,,,,,,,,,,67.6,1010.4,3.25,0.2725,79.70910515,9.433333,5.5,38.90374112504846,35261.52768740898,62097.87817538749,4.783188162726709,0.1754091758761962,1418.6252668423765
3,51,7992,Norovirus,2011-06-18,2011-06-18,21,CT,Connecticut,New Haven,,,,,,,,,,,67.6,1010.4,3.25,0.2725,79.70910515,9.433333,5.5,38.90374112504846,35261.52768740898,62097.87817538749,4.783188162726709,0.1754091758761962,1418.6252668423765
4,52,8037,Norovirus,2011-06-04,2011-06-04,17,MD,Maryland,Baltimore County,,,,,,,,,,,70.25,1018.9,4.2,0.0,46.372565,0.1,6.3,38.975903564045765,52209.6761276325,64707.05839325419,4.641496976932117,0.1112443273602212,1337.5991927422035
5,58,8267,Norovirus,2011-07-28,2011-07-31,32,IL,Illinois,DeKalb,,,,,,,,,,,76.5125,1012.5303344726562,4.425,0.2,84.48341142,54.18184661865234,8.6,29.012081946921967,11910.591299452291,54547.78841391653,6.736893137905202,0.3981701363117225,165.50770501655722
6,59,8269,Norovirus,2011-06-23,2011-06-25,50,WI,Wisconsin,Chippewa,Eau Claire,Kenosha,Milwaukee,Racine,,,,,,,62.91111111,1007.147778,7.190740741,0.084861111,76.73428112,28.7111113,4.792592589,36.29220597559551,13474.03174562749,49542.28861965493,5.375546157058678,0.7682670852705786,1059.8953566423556
7,60,8282,Norovirus,2011-07-02,2011-07-07,22,MO,Missouri,Lincoln,,,,,,,,,,,79.045,1014.251667,3.573333333,0.068333333,71.27216215,19.7200003,6.714999997,35.279182778030936,2964.133190771747,53320.05299266948,4.66556721922612,0.7046904684838987,82.64189173881556
8,62,8302,Norovirus,2011-07-29,2011-07-29,8,IL,Illinois,McHenry,,,,,,,,,,,78.55,1014.63,2.99,0.2,73.23951922,26.91,6.29,37.40454609597918,12550.920367353156,76548.31290957135,4.514258220398979,0.2423601699433907,509.310534937223
9,64,8362,Norovirus,2011-07-14,2011-07-14,6,OR,Oregon,Marion,,,,,,,,,,,61.7,1014.0,4.6,0.0,68.68825052,7.1,5.3,35.08975744968049,18646.05037039781,46039.19631323139,5.42901352480796,4.725863993721533,263.7304772088433
10,73,8537,Norovirus,2011-08-20,2011-08-20,7,GA,Georgia,Fulton,,,,,,,,,,,83.0,1013.1,2.9,0.0,61.76487466,29.2,9.1,34.05849385523423,87635.61760687717,57322.881273470615,5.733726045707305,0.188133574108828,1708.6668921901949
11,125,9568,Norovirus,2011-08-06,2011-08-06,9,CA,California,San Francisco,,,,,,,,,,,55.9,1014.5,7.4,0.0,67.09476470947266,22.77029228210449,5.6,38.3470566820595,58282.79540215481,72494.67765403792,7.009218754530783,0.119333536894942,16945.14992471694
12,158,10383,Norovirus,2011-06-17,2011-06-17,13,NJ,New Jersey,Burlington,,,,,,,,,,,72.63333333,1011.6,5.5,0.05,72.44428016,3.5,4.5,39.80287556809888,22547.52458015051,77126.62849005997,3.9829088956702585,0.3757511373230569,560.7592449474923
13,208,11489,Norovirus,2012-06-07,2012-06-07,7,IL,Illinois,Cook,,,,,,,,,,,64.625,1019.55,4.05,0.0,51.23162516,22.5166667,5.725,35.233893684974724,171645.44879959887,54673.874461078194,5.479108959061592,0.1087375730620852,5489.254550827266
14,213,11566,Norovirus,2012-06-15,2012-06-15,14,OH,Ohio,Mahoning,,,,,,,,,,,71.68,1021.98,5.81,0.0,53.6946463,42.04,4.2,42.68489150195808,8959.088593222135,40881.87869288839,6.544074154530429,0.2943217886005556,581.3066294227763
15,216,11653,Norovirus,2012-06-16,2012-06-16,8,MN,Minnesota,Washington,,,,,,,,,,,69.7,1013.963134765625,3.3,0.0,82.42880474,17.694374084472656,11.7,38.14267712589943,13615.950125339965,80148.3429832066,4.590868834554707,0.3581710383373339,617.2460859923945
16,220,11746,Norovirus,2012-07-02,2012-07-02,21,NY,New York,Queens,,,,,,,,,,,81.13333333,1011.133333,6.1,0.0,41.33804875,0.733333,6.53333333,37.24943033069094,88192.97872574515,56643.7882762139,6.685930374335988,0.0773789040601613,20494.654105476937
17,222,11768,Norovirus,2012-06-30,2012-07-01,18,OH,Ohio,Franklin,,,,,,,,,,,78.1125,1011.775,4.3625,0.18,66.26895209,29.4125,10.7125,33.44956667647769,70619.59036584629,50462.34386267589,5.816563229713022,0.1407360898002299,2180.5383070852386
18,223,11810,Norovirus,2012-07-06,2012-07-06,5,GA,Georgia,Muscogee,,,,,,,,,,,83.3,1014.5,4.3,0.0,61.59152758,13.7,5.6,33.50178022899094,24174.9639891225,41285.61823596772,7.385844445444039,0.1837811960400158,876.9731904162929
19,225,11894,Norovirus,2012-07-24,2012-07-30,260,MI,Michigan,Ottawa,,,,,,,,,,,73.0,1013.842857,8.057142857,0.0,61.716941833496094,10.06191635131836,6.971428573,34.50569011739385,17448.821826774085,55713.104316455145,5.513150034648681,1.5920034192114794,468.5794990738618
