,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,0,5877,Norovirus,2011-01-03,2011-01-03,7,VA,Virginia,Fairfax,,,,,,,,,,,32.7,1023.2,8.8,0.03,41.77605147,7.55,8.2,37.29982749940862,86494.24325374865,105454.75740444136,4.115989235040174,0.0644835740454602,2682.199703928282
1,1,6040,Norovirus,2011-01-12,2011-01-12,22,MN,Minnesota,Stevens,,,,,,,,,,,3.9,1017.60107421875,12.0,0.0,79.50296924,42.37548828125,5.1,34.9050307080477,869.1903519588434,46909.40908185701,4.07062749965829,3.719400992865861,17.228925160974235
2,2,6286,Norovirus,2011-02-06,2011-02-06,5,MN,Minnesota,Hennepin,,,,,,,,,,,27.5,1014.3,5.133333333,0.003333333,77.04215685,34.3,5.566666667,35.904206136635295,75874.87121974763,61593.830558050366,5.192185412029498,0.1467429328260606,2054.5095135574225
3,3,6287,Norovirus,2011-02-09,2011-02-09,15,MN,Minnesota,Hennepin,,,,,,,,,,,-1.2,1027.033333,7.933333333,0.0,60.75043299,34.833333,5.099999997,35.90448610813694,75864.50681814068,61614.156074837,5.194253057565284,0.1468615478233493,2054.634684998262
4,4,6289,Norovirus,2011-01-01,2011-01-01,14,RI,Rhode Island,Kent,,,,,,,,,,,39.0,1019.0,3.3,0.0,76.0360898,2.3,3.7,41.90066451499028,7097.103955699049,61087.16541258057,5.428532677482086,0.1241769221779984,992.306393577467
5,5,6290,Norovirus,2011-01-15,2011-01-15,54,RI,Rhode Island,Kent,,,,,,,,,,,16.9,1022.1,5.0,0.0,72.77377206,2.3,7.0,41.91006474944151,7031.788224455335,61076.48457319836,5.432411036863087,0.1241647772687155,992.1728389902202
6,6,6348,Norovirus,2011-02-09,2011-02-11,111,IL,Illinois,Cook,,,,,,,,,,,9.275,1022.3,9.483333333,0.0,60.37053445,24.6444444,6.433333337,35.116339010442566,173177.97558564084,54056.82057228504,5.302695419696319,0.1020163184903293,5472.763536514169
7,7,6432,Norovirus,2011-02-25,2011-02-25,12,IL,Illinois,DuPage,,,,,,,,,,,31.8,1017.7,10.55,0.035,73.76875508,27.5,8.5,37.44614509910564,54880.337983853184,76672.08496428392,4.0973342061001885,0.1043207097469278,2783.8702561807345
8,8,6454,Norovirus,2011-02-20,2011-02-21,16,MN,Minnesota,Dakota,,,,,,,,,,,23.875,1013.8116455078124,9.725,0.1,83.07497426,37.25541687011719,7.275,36.127411248372304,24600.803893590124,73149.94425145286,4.242176817337636,0.2611890933114449,700.586387551396
9,9,6472,Norovirus,2011-02-28,2011-02-28,24,IL,Illinois,McHenry,,,,,,,,,,,31.24,1015.79,8.54,0.18,64.87921758,30.47,5.07,37.19091179047866,12729.744251904644,76422.46946600266,4.444474805493714,0.2441205380444229,508.035059257048
