,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,34,37,8488,Salmonella,2011-09-04,2011-09-05,12,IL,Illinois,Kane,,,,,,,,,,,,,,,,,,,62.35,1016.15,8.45,0.025,71.33739239,25.9,8.05,34.326737680316455,29215.923580106966,69494.8593762457,4.398746683806575,0.2019628884616183,975.9054434441156
1,35,38,8495,Salmonella,2011-09-07,2011-09-07,8,IL,Illinois,Stephenson,,,,,,,,,,,,,,,,,,,54.6,1013.7236328125,4.3,0.0,69.43323501,31.78980827331543,7.7,43.14582958156081,2182.3325780019018,42980.67435439529,5.254172261290476,1.3470131691558,84.62137473894401
2,36,39,8517,Salmonella,2011-09-02,2011-09-02,37,OH,Ohio,Cuyahoga,,,,,,,,,,,,,,,,,,,80.725,1014.5,3.475,0.0425,76.24994402,26.9666667,3.05,39.81361075140993,43693.717657102265,44050.80970084015,5.805481692603176,0.1129649423010394,2817.199904175104
3,43,48,8635,Salmonella,2011-09-07,2011-09-28,8,KS,Kansas,Lyon,,,,,,,,,,,,,,,,,,,63.95909091,1017.5,6.513636364,0.088636364,58.24355277,43.2045455,6.963636366,31.7204673515022,3321.1982087684487,37583.36564970232,6.435683042331877,1.4561647890186011,40.91945934205224
4,45,52,8686,Salmonella,2011-09-16,2011-09-26,68,SC,South Carolina,York,,,,,,,,,,,,,,,,,,,67.06363636,1019.345455,2.781818182,0.310909091,85.96294381,23.4363641,5.490909091,36.93290649580552,14109.256973380234,53657.81692857843,5.84432846274428,0.2934275663358321,322.95142432113835
5,46,53,8693,Salmonella,2011-09-24,2011-09-27,5,ID,Idaho,Nez Perce,,,,,,,,,,,,,,,,,,,64.67,1011.9325,6.055,0.025,38.84567237,98.51,7.715,40.75388371954608,2953.7261803727024,44380.89589572559,6.576871295012717,0.8938187411900494,46.04520896973926
6,48,55,8762,Salmonella,2011-10-16,2011-10-16,7,IA,Iowa,Marshall,,,,,,,,,,,,,,,,,,,51.0,1011.9,8.9,0.01,57.88837408,49.05215835571289,10.1,39.26387688807774,2120.823657522188,47350.92733381118,4.748767477825661,1.1551310783037747,70.49673016748862
7,49,56,8841,Salmonella,2011-09-17,2011-09-18,35,MI,Michigan,Hillsdale,,,,,,,,,,,,,,,,,,,56.2,1013.5726318359376,5.8,0.0,70.94036434,33.984615325927734,7.2,40.13495443331972,2484.6440986228395,43130.36806304516,4.506486839356715,1.6114598465220216,78.40584149348363
8,50,57,8945,Salmonella,2011-09-23,2011-10-10,32,FL,Florida,Lee,,,,,,,,,,,,,,,,,,,78.56064815,1013.827778,5.926388889,0.205925926,72.16466529,0.858334,5.994907411,44.88917416186076,43144.5133194701,49617.565732051255,7.212375083655181,0.6293610488354493,782.4072606253967
9,51,58,8946,Salmonella,2011-10-15,2011-10-28,39,GA,Georgia,Coffee,,,,,,,,,,,,,,,,,,,64.22142857,1014.7850952148438,2.014285714,0.0,68.18595225,42.347267150878906,6.357142857,34.790277925149674,2209.274336395228,34208.762167472945,5.540011320070625,2.490398006525412,73.11886154906797
10,53,61,9058,Salmonella,2011-11-25,2011-12-05,165,MS,Mississippi,Alcorn,,,,,,,,,,,,,,,,,,,45.15454545,1014.8326416015624,5.809090909,0.0,72.54084448,33.056602478027344,6.818181821,39.11365708703249,2210.470764361913,32198.56942454568,4.8029121272998445,0.7877868280927892,92.15955340826716
11,57,67,9535,Salmonella,2011-11-23,2011-12-16,54,GA,Georgia,Lee,,,,,,,,,,,,,,,,,,,54.36291667,1023.416667,4.61625,0.014166667,67.45021925,8.097917,5.86625,35.79268107205143,2486.702810736239,58318.51947004182,2.118958143777544,0.7810417742038634,79.36085093753815
12,59,69,9619,Salmonella,2011-09-18,2011-09-20,6,VA,Virginia,Charlottesville,,,,,,,,,,,,,,,,,,,62.28333333,1023.653333,1.663333333,0.033333333,77.80400186,25.3166663,6.526666667,27.52507321627193,8965.573142643565,43595.52603429448,8.684161477600043,0.1368038231765696,4161.486269210029
13,64,76,10505,Salmonella,2011-09-19,2011-12-07,26,NJ,New Jersey,Atlantic,Monmouth,Ocean,,,,,,,,,,,,,,,,,55.48397917,1018.105625,5.378791667,0.056152083,71.19129351,3.771042,5.988125003,41.000558208072526,18664.522908075887,66472.73519801992,7.053429391741052,0.2902765987841818,914.691297842322
14,65,77,10542,Salmonella,2011-09-03,2011-09-05,20,WI,Wisconsin,Milwaukee,,,,,,,,,,,,,,,,,,,65.16666667,1014.533333,8.411111111,0.066666667,71.89448969,25.583333,7.255555559,33.705923319434184,38114.443433829576,43275.67611440423,5.892922265371712,0.3907424736369532,3896.1673001014046
15,66,78,10556,Salmonella,2011-09-12,2011-09-17,6,NC,North Carolina,Forsyth,,,,,,,,,,,,,,,,,,,67.56666667,1018.9,3.466666667,0.0,64.00330432,34.3833333,5.2,37.192835719606485,17209.877035715646,46583.78603596727,5.314107116107737,0.1629566319539636,848.4792220610093
16,102,122,12306,Salmonella,2012-09-05,2012-09-08,6,NY,New York,Washington,,,,,,,,,,,,,,,,,,,68.7325,1009.515,4.205,0.165,79.85401393,18.22,7.88,42.10297653350176,4792.422479173399,50522.64811528378,5.171117857609402,1.3958099328354454,75.91822052464212
17,104,125,12358,Salmonella,2012-09-01,2012-10-06,19,HI,Hawaii,Honolulu,,,,,,,,,,,,,,,,,,,76.84944444,1016.447222,5.801111111,0.02125,70.06961649,0.579629,5.707777779,37.73824475242067,59996.81355727492,72067.99670254833,7.677973299474207,0.4365832436374599,1585.0497492074437
18,105,126,12379,Salmonella,2012-09-14,2012-10-10,18,IL,Illinois,Cook,Lake,,,,,,,,,,,,,,,,,,56.72118607,1017.012963,8.410626102,0.016898148,58.06130716,23.7888889,7.499955908,35.941520974409926,104493.4689442129,67044.25762149914,4.91358529636106,0.1285877419777925,3537.2198354967613
19,107,129,12446,Salmonella,2012-10-03,2012-10-12,26,VA,Virginia,Accomack,,,,,,,,,,,,,,,,,,,64.48666667,1018.56,5.466666667,0.069333333,71.19566014,1.42,5.276666663,44.42356195579048,1303.508831566446,41076.04107489648,5.072603481812744,3.9145556887032287,74.5318001271101
20,108,130,12472,Salmonella,2012-09-19,2012-09-21,9,MD,Maryland,Baltimore City,,,,,,,,,,,,,,,,,,,67.4,1017.7,4.866666667,0.126666667,56.51881727,0.4,4.133333333,34.38465935210027,39159.129071562864,40617.573309898005,5.807759091479203,0.1004449570670092,7665.793047097924
21,109,131,12527,Salmonella,2012-09-28,2012-10-01,35,AL,Alabama,Talladega,,,,,,,,,,,,,,,,,,,70.475,1014.9761962890624,4.709371566772461,0.2775,69.78264617919922,50.85574722290039,8.20876407623291,39.31374285847341,6375.965877016827,35464.50150794072,5.293029019622293,0.586867032125398,111.62166136663946
22,110,132,12641,Salmonella,2012-10-11,2012-11-25,29,IL,Illinois,McLean,,,,,,,,,,,,,,,,,,,45.12391304,1018.917391,10.48478261,0.110434783,73.63280241,32.3565214,5.86521739,32.1726550090732,14989.045607060283,60806.76670098301,6.662830191734009,0.2352337035513221,143.18758936344946
23,111,133,12659,Salmonella,2012-10-13,2012-10-13,16,HI,Hawaii,Honolulu,,,,,,,,,,,,,,,,,,,78.3,1019.4,6.76,0.0,68.59146965,0.466667,5.02,37.732646834317656,60082.97422069637,72127.77679125044,7.681092075198522,0.4401593055221152,1586.2711271097742
24,113,135,12689,Salmonella,2012-11-22,2012-11-22,16,IL,Illinois,Boone,,,,,,,,,,,,,,,,,,,50.18,1014.83,11.47,0.0,74.57891893,28.42,9.56,36.53110065368036,2611.165151282986,63703.31281149764,3.830016445421086,0.5387279799157334,192.8825133129693
25,114,136,12693,Salmonella,2012-10-26,2012-10-26,33,SC,South Carolina,Berkeley,,,,,,,,,,,,,,,,,,,70.9,1017.421142578125,6.8,0.0,74.55487949,21.099489212036133,6.2,34.56170814802073,18125.25280014664,51330.2790024499,4.685236826163694,0.233503510346382,162.7883665551856
26,115,137,12730,Salmonella,2012-10-13,2012-10-13,27,TN,Tennessee,Hardeman,,,,,,,,,,,,,,,,,,,70.03,1014.832763671875,7.4,0.0,20.561305,33.056602478027344,7.6,39.78148262521204,1595.860830659792,32136.58239446848,2.903625745894905,0.9856821906433746,40.81240128206929
