,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,6376,Salmonella,2011-01-08,2011-01-28,11,CT,Connecticut,New London,,,,,,,,,,,,,,,,,,,26.26190476,1013.557143,8.646031746,0.037142857,65.15681437,0.447619,6.988888884,39.80383113304912,19221.760024128977,65422.909029750044,5.9432555020507065,0.2255785603675984,409.6429785161503
1,6742,Salmonella,2011-03-09,2011-03-13,51,LA,Louisiana,Avoyelles,,,,,,,,,,,,,,,,,,,60.6,1021.114,5.146,1.206,60.93791406,4.092,7.22,38.37351470973333,2711.096663750622,31196.357421744306,7.8250822060946135,2.489683014066094,50.45441337609306
2,6917,Salmonella,2011-03-03,2011-03-13,8,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,38.30227273,1023.769697,8.504545455,0.166439394,63.14225129,10.584849,7.513636365,38.79849636924019,35767.332261642085,61590.041781413594,4.752864499182314,0.14185988344756184,1417.7066221176613
3,7025,Salmonella,2011-03-05,2011-03-05,18,MD,Maryland,Frederick,,,,,,,,,,,,,,,,,,,45.45,1027.2,8.0,0.0,73.55308758,38.65,12.0,37.995977621644286,13855.509324380702,81850.32143377975,3.9991892007110335,0.2533589282626995,347.8077474798548
4,7031,Salmonella,2011-03-12,2011-03-24,81,RI,Rhode Island,Bristol,Kent,Newport,Providence,,,,,,,,,,,,,,,,40.43846154,1017.727839,7.622115385,0.027019231,66.83712142,8.00989,6.838461535,40.838317789017864,11637.093952281806,61767.33318226082,6.295417909979768,0.21617628119944124,1356.6753258122112
5,7152,Salmonella,2011-01-06,2011-01-28,6,MI,Michigan,Lenawee,,,,,,,,,,,,,,,,,,,19.58695652,1017.904348,5.486956522,0.018695652,81.46138399,31.0521741,5.069565218,39.40302617466866,5504.010977131633,48594.65961416278,5.722237253986132,1.5984643226814703,134.6101239632047
6,7198,Salmonella,2011-04-02,2011-05-04,7,MI,Michigan,Macomb,Oakland,Wayne,,,,,,,,,,,,,,,,,47.25335498,1012.59798,8.940422078,0.13369228,67.18933231,25.7180377,7.653571432,38.551111351715235,53728.239259710404,54290.20718561827,5.871583973880866,0.1493328909161028,2058.393672954208
7,7323,Salmonella,2011-04-05,2011-05-09,36,IL,Illinois,Kane,,,,,,,,,,,,,,,,,,,49.33142857,1012.742857,10.16,0.122285714,68.43606825,26.2171427,7.68285714,34.25327317911058,29575.627983273713,68912.08195781804,4.389049147422171,0.19376327684565897,970.8880361828354
8,7359,Salmonella,2011-01-20,2011-01-20,7,CA,California,Fresno,,,,,,,,,,,,,,,,,,,50.3,1020.9,0.8,0.0,77.38900372,12.0,3.3,30.41747132606828,32236.875673149225,46561.27103188813,5.022293800305834,7.4877432097343934,152.65944091969988
9,7419,Salmonella,2011-03-30,2011-04-12,14,GA,Georgia,Clarke,Clayton,DeKalb,Forsyth,Fulton,Gwinnett,Henry,Oconee,Oglethorpe,Walton,,,,,,,,,,61.60892857,1014.108776,6.409206349,0.118222222,52.71825988,33.5509189,7.456984131,34.61660632679937,30466.21120837799,56800.10223500577,4.926339761559527,0.47562302492551084,1068.53442613151
