,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,1,2,6917,Salmonella,2011-03-03,2011-03-13,8,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,38.30227273,1023.769697,8.504545455,0.166439394,63.14225129,10.584849,7.513636365,38.79849636924019,35767.332261642085,61590.0417814136,4.752864499182314,0.1418598834475618,1417.7066221176613
1,2,3,7025,Salmonella,2011-03-05,2011-03-05,18,MD,Maryland,Frederick,,,,,,,,,,,,,,,,,,,45.45,1027.2,8.0,0.0,73.55308758,38.65,12.0,37.995977621644286,13855.509324380702,81850.32143377975,3.9991892007110335,0.2533589282626995,347.8077474798548
2,3,4,7031,Salmonella,2011-03-12,2011-03-24,81,RI,Rhode Island,Bristol,Kent,Newport,Providence,,,,,,,,,,,,,,,,40.43846154,1017.727839,7.622115385,0.027019231,66.83712142,8.00989,6.838461535,40.83831778901786,11637.093952281806,61767.33318226082,6.295417909979768,0.2161762811994412,1356.6753258122112
3,5,6,7198,Salmonella,2011-04-02,2011-05-04,7,MI,Michigan,Macomb,Oakland,Wayne,,,,,,,,,,,,,,,,,47.25335498,1012.59798,8.940422078,0.13369228,67.18933231,25.7180377,7.653571432,38.55111135171524,53728.2392597104,54290.20718561827,5.871583973880866,0.1493328909161028,2058.393672954208
4,6,7,7323,Salmonella,2011-04-05,2011-05-09,36,IL,Illinois,Kane,,,,,,,,,,,,,,,,,,,49.33142857,1012.742857,10.16,0.122285714,68.43606825,26.2171427,7.68285714,34.25327317911058,29575.62798327372,68912.08195781804,4.389049147422171,0.1937632768456589,970.8880361828354
5,7,9,7419,Salmonella,2011-03-30,2011-04-12,14,GA,Georgia,Clarke,Clayton,DeKalb,Forsyth,Fulton,Gwinnett,Henry,Oconee,Oglethorpe,Walton,,,,,,,,,,61.60892857,1014.108776,6.409206349,0.118222222,52.71825988,33.5509189,7.456984131,34.61660632679937,30466.21120837799,56800.10223500577,4.926339761559527,0.4756230249255108,1068.53442613151
6,8,10,7675,Salmonella,2011-04-30,2011-04-30,10,PA,Pennsylvania,Montgomery,,,,,,,,,,,,,,,,,,,55.45,1017.7,5.65,0.0,50.55545075,11.3,5.8,40.26513486405074,43198.71209125813,77299.0745943119,4.031590124007933,0.0870342921146008,1639.250646829658
7,13,16,7960,Salmonella,2011-05-30,2011-08-01,7,MA,Massachusetts,Worcester,,,,,,,,,,,,,,,,,,,70.54296875,1013.048438,5.815625,0.13078125,65.11334324,24.429688,5.5625,38.6397409126744,31956.998085406267,65119.96650610261,4.804077270726408,0.2077688673688507,524.9467063786147
8,14,17,7962,Salmonella,2011-04-10,2011-04-10,17,GA,Georgia,Screven,,,,,,,,,,,,,,,,,,,76.7,1014.832763671875,1.3,0.0,70.82552962,33.056602478027344,5.7,38.99718759410466,658.1370856396284,31418.06076886509,5.052621937539213,3.8448018943633935,22.906497852394786
9,15,18,8001,Salmonella,2011-04-07,2011-05-03,22,TX,Texas,Tarrant,,,,,,,,,,,,,,,,,,,70.03407407,1009.914198,10.77333333,0.118061728,54.70337598,22.5504943,8.47777778,33.300241577953734,112585.38189266884,55515.40910245654,5.036115370897916,0.113727355609602,2032.416508732736
10,25,28,8252,Salmonella,2011-05-03,2011-08-22,15,MN,Minnesota,Hennepin,Martin,Olmsted,Ramsey,Washington,,,,,,,,,,,,,,,68.99919218,1011.941607,6.90894983,0.149471088,65.70575345,34.602857,7.34277211,37.88226059029026,28116.128590726606,60652.71539932549,4.642774271515157,0.7703010697154927,1246.5913740891117
11,31,34,8379,Salmonella,2011-04-15,2011-04-19,14,CA,California,Butte,,,,,,,,,,,,,,,,,,,59.78,1017.7,3.85,0.033,70.32750099,7.95,5.76,37.13890340129991,15079.45840444324,43045.94646641505,6.843353106395273,1.5248026459517114,133.68051286639988
12,41,46,8613,Salmonella,2011-03-17,2011-03-18,5,FL,Florida,Palm Beach,,,,,,,,,,,,,,,,,,,74.725,1023.3,6.825,0.0,53.50495431,0.225,4.95,43.14199076954456,70491.83983561366,53122.11680347098,6.203625947354013,0.8296406489985959,660.3520090885951
13,52,60,9028,Salmonella,2011-05-20,2011-06-03,22,CA,California,Contra Costa,,,,,,,,,,,,,,,,,,,56.70888889,1016.284444,8.311111111,0.007555556,63.94934538,1.797777,6.128888889,38.16993068947208,54764.05920544513,79162.7314317592,4.623325585705898,0.190026223443908,1438.2798952494593
14,55,65,9716,Salmonella,2011-05-28,2011-05-28,11,OH,Ohio,Miami,,,,,,,,,,,,,,,,,,,63.07,1012.93,5.57,0.03,80.73410712,33.62,6.71,40.16515549832358,4732.243157132575,51172.8826303263,4.946504631264845,0.3494736197372939,251.82777051696505
15,69,86,11237,Salmonella,2012-04-08,2012-05-01,17,MA,Massachusetts,Norfolk,,,,,,,,,,,,,,,,,,,53.07083333,1012.10625,8.425,0.133541667,48.24025607,2.077083,6.67083333,40.46776065700803,42978.66296862088,83928.41395700135,4.139439112012672,0.1027745191889872,1686.6801485720634
16,70,88,11304,Salmonella,2012-03-17,2012-03-20,5,MI,Michigan,Kent,,,,,,,,,,,,,,,,,,,66.95,1017.55,6.425,0.03,67.12103996,28.9,5.075,34.21161939074358,29256.930376493245,50880.43750851872,5.93955762679919,0.7505374482837045,711.5695099717843
17,71,89,11340,Salmonella,2012-05-04,2012-05-11,21,CT,Connecticut,Hartford,,,,,,,,,,,,,,,,,,,58.2875,1012.5875,5.8125,0.163125,70.52130526,3.45,6.6125,39.84204410429189,39185.3381851608,64351.28239043298,5.17426757663192,0.1384557300088592,1212.9467579175448
18,72,90,11416,Salmonella,2012-05-12,2012-05-12,6,MN,Minnesota,Hennepin,,,,,,,,,,,,,,,,,,,57.46666667,1025.566667,3.6,0.06,49.91793773,32.4000003,6.76666667,35.89229300205746,75357.51772123469,63207.43452475002,5.33035229287413,0.1802350630033884,2077.965658111937
19,73,91,11434,Salmonella,2012-05-09,2012-05-12,7,NY,New York,Albany,,,,,,,,,,,,,,,,,,,56.875,1009.9,8.15,0.2125,62.73312112,10.65,7.9,38.15768986647085,21117.33157017792,58456.70214988804,4.987401075184386,0.1846850233449955,581.6832347358593
20,77,96,11572,Salmonella,2012-05-19,2012-05-19,20,GA,Georgia,Fulton,,,,,,,,,,,,,,,,,,,71.0,1018.3,3.2,0.0,56.81830974,29.8,5.7,34.143575592060216,87755.06224469728,57740.93316749344,5.717768230201316,0.1983890090679967,1739.9061826948075
21,78,97,11638,Salmonella,2012-05-02,2012-05-06,19,SC,South Carolina,Spartanburg,,,,,,,,,,,,,,,,,,,74.88,1015.92,4.35,0.0,69.14721054,33.88,5.82,37.92651837038827,14143.62877245046,43621.31933266353,5.87385864693348,0.3372403261558726,350.0229563700798
22,79,98,11676,Salmonella,2012-05-04,2012-05-31,14,KS,Kansas,Cowley,,,,,,,,,,,,,,,,,,,72.65357143,1012.739286,8.971428571,0.031428571,58.66500703,40.8428574,6.689285719,38.45202140244624,3213.223853235232,41340.10665567208,5.42585734271694,0.5214992600018401,32.20418634435814
23,81,100,11724,Salmonella,2012-03-25,2012-03-30,33,NC,North Carolina,Mecklenburg,,,,,,,,,,,,,,,,,,,63.45,1014.816667,6.033333333,0.006666667,53.78344912,27.1833337,7.116666667,33.91577883050282,69731.69293142558,56077.591155138856,5.7397692929315625,0.1332644078191594,1738.2691936919864
24,85,104,11827,Salmonella,2012-04-29,2012-04-30,42,HI,Hawaii,Hawaii,,,,,,,,,,,,,,,,,,,65.53333333,1019.633333,6.591666667,0.124666667,81.38686585,1.658333,5.354166663,40.59026413542204,7830.078864494382,53066.02087327013,8.318270762866767,1.93772056163521,45.644320677329006
25,86,106,11896,Salmonella,2012-05-27,2012-05-27,14,ME,Maine,Cumberland,,,,,,,,,,,,,,,,,,,64.1,1020.05,4.9,0.0,58.18415665,1.95,4.0,40.91723931840991,19175.588835773644,57326.280928109525,6.024793790272892,0.6108539556362035,337.04279602474986
26,88,108,11967,Salmonella,2012-05-15,2012-05-19,16,TN,Tennessee,Chester,,,,,,,,,,,,,,,,,,,70.126,1014.6503295898438,2.44,0.132,19.04328356,31.89692497253418,6.32,37.23018641866143,1529.294712457957,40741.63420703915,3.631485115341829,0.6078430155511543,59.39604782243911
27,93,113,12049,Salmonella,2012-03-27,2012-05-16,23,MA,Massachusetts,Berkshire,Essex,Middlesex,Norfolk,Plymouth,Suffolk,,,,,,,,,,,,,,51.08645276,1012.776863,6.778235294,0.107402852,54.40774813,9.97817,6.866274506,39.32111239133528,44771.15865076856,67583.05054063538,5.479088262269065,0.2112764657952292,3038.859582578785
28,94,114,12055,Salmonella,2012-05-25,2012-05-25,63,HI,Hawaii,Honolulu,,,,,,,,,,,,,,,,,,,76.7,1018.76,9.06,0.002,64.70528852,0.46,5.7,37.741454490494384,59646.77746401137,71741.48717248054,7.650773966442419,0.4183658494447425,1579.1221008109917
29,95,115,12061,Salmonella,2012-04-15,2012-07-04,18,MA,Massachusetts,Middlesex,Norfolk,,,,,,,,,,,,,,,,,,62.00205761,1014.664609,6.412757202,0.13436214,64.88454036,4.106584,6.203292178,39.46157821659836,69690.61635585617,82241.09348899517,4.164201514577537,0.1056927122369527,1759.900447262799
30,98,118,12159,Salmonella,2012-05-18,2012-05-18,5,CO,Colorado,Boulder,,,,,,,,,,,,,,,,,,,59.16666667,1014.5332641601562,2.85,0.0,38.72333456,43.99122619628906,11.6,35.54006978776637,31816.798996138703,66916.53332062988,5.950340274741548,0.2363438328445215,405.7522931341425
31,99,119,12209,Salmonella,2012-05-25,2012-08-20,6,IA,Iowa,Boone,Clinton,Linn,Sac,Warren,,,,,,,,,,,,,,,73.99465341,1013.111364,6.540392045,0.065910985,54.21060274,34.4573015,7.197681815,40.70080410434488,3872.847497064632,53044.08211764605,4.665455478894552,1.1042441712852986,102.0128189362397
32,103,124,12344,Salmonella,2012-05-13,2012-05-13,13,KS,Kansas,Lincoln,,,,,,,,,,,,,,,,,,,61.04,1024.29,4.12,0.0,48.83408121,62.34,4.64,46.78712218697421,182.7339910156281,41259.31597549072,4.394603216716091,4.94018049509733,4.539810621732945
33,124,149,14597,Salmonella,2012-05-26,2012-05-28,21,WI,Wisconsin,Outagamie,,,,,,,,,,,,,,,,,,,68.13333333,1016.5731811523438,9.333333333,0.0,75.98341926,42.57181167602539,7.666666667,37.11252659071958,9018.049076477417,57345.72783909802,5.319558721471711,0.5107385673640968,276.2892020709696
34,127,152,14706,Salmonella,2013-03-09,2013-03-09,6,CA,California,San Diego,,,,,,,,,,,,,,,,,,,52.38125,1019.215385,7.8375,0.445333333,70.51316933,19.5237183,6.5875,34.71939134952544,158168.81043037475,63223.6409819417,5.838105744534174,0.6063070286824552,738.693470310096
35,128,153,14719,Salmonella,2013-04-06,2013-04-20,35,PA,Pennsylvania,Cambria,,,,,,,,,,,,,,,,,,,53.22,1015.413333,10.17333333,0.108,61.05717153,81.1199997,7.46,43.76768457671619,6214.882039808852,41663.1818369565,6.149183493931328,0.3534313371188056,207.8409352765852
36,130,155,14760,Salmonella,2013-03-28,2013-04-24,26,MN,Minnesota,Dakota,Hennepin,Ramsey,,,,,,,,,,,,,,,,,35.61190476,1016.691071,8.244642857,0.14025,69.5001914,28.4702377,6.638690473,35.805417500946504,47730.08647897723,63477.2781878788,5.128585754478886,0.2570248220126473,2058.274070708838
37,132,159,15148,Salmonella,2013-05-10,2013-05-11,59,MA,Massachusetts,Essex,,,,,,,,,,,,,,,,,,,62.1,1011.475,5.3,0.195,79.41415395,4.525,8.2,40.48354343644144,29950.931847915424,67017.54035537661,5.247301463513443,0.2619524027799557,1516.5616367634775
38,133,160,15149,Salmonella,2013-05-12,2013-05-22,46,MA,Massachusetts,Middlesex,,,,,,,,,,,,,,,,,,,56.82727273,1015.681818,5.890909091,0.066363636,61.43889748,6.127273,7.654545459,38.55231178381506,98445.98907115274,81692.69761805426,4.3111226563102445,0.1025675583006599,1850.216761310524
39,134,161,15151,Salmonella,2013-05-16,2013-05-19,8,IL,Illinois,Will,,,,,,,,,,,,,,,,,,,69.90833333,1016.24609375,4.808333333,0.0875,64.21732043,36.98022079467773,6.433333337,35.60627023894368,27392.02020081184,76256.51890385595,4.612138598850246,0.1714185380737664,810.6949410165283
40,136,163,15211,Salmonella,2013-03-09,2013-03-26,16,AZ,Arizona,Mohave,,,,,,,,,,,,,,,,,,,62.74722222,1012.144444,7.344444444,0.003611111,20.28973611,69.5555551,9.552777776,47.52715705058809,18001.44065216018,39282.793774489466,9.27898063557819,0.327985733103915,15.122519352800031
41,139,166,15324,Salmonella,2013-05-12,2013-05-24,10,TN,Tennessee,Davidson,,,,,,,,,,,,,,,,,,,68.80769231,1016.515385,5.730769231,0.061538462,61.82558554,21.5000004,7.123076919,33.966141523597564,50607.37512455764,46900.545473567945,5.862339450051956,0.1175906995929976,1255.0529164615195
42,140,167,15325,Salmonella,2013-05-10,2013-05-10,5,TN,Tennessee,Putnam,Smith,,,,,,,,,,,,,,,,,,65.42,1015.375,5.875,0.05,43.63584871,25.925,9.36,38.19631108470921,2747.1641363318,38664.10128091647,6.627535902314557,0.4495084733873523,120.69032242559253
43,141,168,15334,Salmonella,2013-04-26,2013-05-05,9,IL,Illinois,Cook,,,,,,,,,,,,,,,,,,,56.022,1017.43,9.328,0.01125,66.49413557,22.67,6.806,35.35837358759333,171471.92695514212,54594.79889770261,5.547175470726894,0.1088183733623688,5503.406143340691
44,152,181,15935,Salmonella,2013-05-20,2013-06-20,25,MA,Massachusetts,Norfolk,Suffolk,,,,,,,,,,,,,,,,,,64.38203125,1013.845573,5.756770833,0.304375,69.28467076,1.547135,8.564062497,36.16577975077914,58818.72309400803,68709.45738691828,5.826472339192307,0.1078777585563551,7121.529986485009
