,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,0,0,6376,Salmonella,2011-01-08,2011-01-28,11,CT,Connecticut,New London,,,,,,,,,,,,,,,,,,,26.26190476,1013.557143,8.646031746,0.037142857,65.15681437,0.447619,6.988888884,39.80383113304912,19221.760024128977,65422.90902975005,5.9432555020507065,0.2255785603675984,409.6429785161503
1,4,5,7152,Salmonella,2011-01-06,2011-01-28,6,MI,Michigan,Lenawee,,,,,,,,,,,,,,,,,,,19.58695652,1017.904348,5.486956522,0.018695652,81.46138399,31.0521741,5.069565218,39.40302617466866,5504.010977131633,48594.65961416278,5.722237253986132,1.5984643226814703,134.6101239632047
2,9,11,7887,Salmonella,2011-01-23,2011-04-20,37,CA,California,Alameda,Contra Costa,El Dorado,Monterey,Placer,Sacramento,San Joaquin,San Luis Obispo,Santa Barbara,Santa Clara,Solano,Stanislaus,,,,,,,,51.21547988,1018.559825,5.777120802,0.070921543,67.72745697,21.6780238,7.251056018,36.16880369915776,43094.0457351971,65630.06344898799,5.187241241914865,2.3701618439104064,688.7952900905942
3,32,35,8398,Salmonella,2011-02-27,2011-11-26,5,MA,Massachusetts,Middlesex,Plymouth,Suffolk,,,,,,,,,,,,,,,,,58.77212454,1015.187332,6.621855922,0.114485348,69.0440829,3.0855,6.483180708,36.8824853402329,64323.47291576873,67988.02044932402,5.567989961294467,0.1683620785370193,4915.785405227388
4,58,68,9567,Salmonella,2011-12-15,2011-12-21,5,NY,New York,Albany,,,,,,,,,,,,,,,,,,,34.54285714,1018.128571,9.071428571,0.022857143,67.1112543,11.0,6.628571429,38.09452083731601,21696.37064237456,57639.57773849591,4.914602783216139,0.1973651785576054,581.3821743209807
5,60,72,9785,Salmonella,2011-12-28,2011-12-28,5,OH,Ohio,Franklin,,,,,,,,,,,,,,,,,,,33.15,1012.85,11.525,0.26,71.71314795,31.4,8.225,33.39932700027364,69233.44713249155,50037.21948993855,5.813260800139204,0.1448635202122113,2167.5748063914343
6,62,74,9878,Salmonella,2012-01-02,2012-01-05,9,MD,Maryland,Frederick,,,,,,,,,,,,,,,,,,,27.0125,1014.3,10.3875,0.0175,56.57382647,14.95,7.1,38.302451875474894,13117.65799687736,82677.82017983112,3.874342736278213,0.2398130380134969,351.019094967312
7,67,79,10706,Salmonella,2012-01-29,2012-02-03,23,SC,South Carolina,Dorchester,,,,,,,,,,,,,,,,,,,51.83333333,1015.634765625,2.833333333,0.0,59.27529459,31.423473358154297,5.966666667,35.59483375523562,12119.461815768578,54909.80127987069,5.907629431996413,0.3214552622530474,233.90894521409223
8,74,92,11697,Salmonella,2012-02-29,2012-05-08,89,NC,North Carolina,Buncombe,,,,,,,,,,,,,,,,,,,57.35285714,1017.402857,5.448571429,0.127285714,65.2170858,75.9271427,8.637142861,40.62433594459521,16394.67488036132,44278.804981704816,6.83310689334524,0.3015531171869647,360.8400356483782
9,80,99,11720,Salmonella,2012-01-01,2012-01-04,12,NC,North Carolina,Iredell,,,,,,,,,,,,,,,,,,,38.3,1016.7138671875,7.275,0.0,45.84184198,31.216344833374023,5.975,38.70176594453911,9361.671399139384,51136.32427813982,4.522303320851629,0.4689199542565901,274.50233585489457
