USPS,STATE,GEOID,ANSICODE,NAME,NAME1,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
AL,ALABAMA,1001,161526,Autauga County,Autauga,1539631461,25677536,594.455,9.914,32.532237,-86.64644
AL,ALABAMA,1003,161527,Baldwin County,Baldwin,4117724893,1132887353,1589.863,437.41,30.659218,-87.746067
AL,ALABAMA,1005,161528,Barbour County,Barbour,2292160151,50523213,885.008,19.507,31.870253,-85.405104
AL,ALABAMA,1007,161529,Bibb County,Bibb,1612188713,9572302,622.47,3.696,33.015893,-87.127148
AL,ALABAMA,1009,161530,Blount County,Blount,1670259093,14860281,644.891,5.738,33.977358,-86.56644
AL,ALABAMA,1011,161531,Bullock County,Bullock,1613083468,6030667,622.815,2.328,32.101759,-85.717261
AL,ALABAMA,1013,161532,Butler County,Butler,2012002548,2701199,776.839,1.043,31.751667,-86.681969
AL,ALABAMA,1015,161533,Calhoun County,Calhoun,1569248376,16534047,605.89,6.384,33.770516,-85.827909
AL,ALABAMA,1017,161534,Chambers County,Chambers,1545068570,16988729,596.554,6.559,32.915504,-85.394032
AL,ALABAMA,1019,161535,Cherokee County,Cherokee,1433620850,120310807,553.524,46.452,34.069515,-85.654242
AL,ALABAMA,1021,161536,Chilton County,Chilton,1794438907,20592053,692.837,7.951,32.854051,-86.726607
AL,ALABAMA,1023,161537,Choctaw County,Choctaw,2365900083,19114321,913.479,7.38,31.990954,-88.248889
AL,ALABAMA,1025,161538,Clarke County,Clarke,3207494083,36657889,1238.42,14.154,31.685521,-87.818624
AL,ALABAMA,1027,161539,Clay County,Clay,1564255426,5281616,603.962,2.039,33.2704,-85.863525
AL,ALABAMA,1029,161540,Cleburne County,Cleburne,1450666452,2352217,560.105,0.908,33.671964,-85.516126
AL,ALABAMA,1031,161541,Coffee County,Coffee,1758565928,3907189,678.986,1.509,31.402258,-85.989602
AL,ALABAMA,1033,161542,Colbert County,Colbert,1535742270,79160396,592.953,30.564,34.703112,-87.801457
